Nom Joueur          Partie Gagne        Mot Initial         Temps               Difficulte           

coucou              True                TAXIES              00min et 07s        1                   
patate              True                HAVAIS              00min et 13s        1                   
pilou               True                LOUVER              00min et 07s        1                   
bfjdnf              True                ARRIVERA            00min et 03s        2                   
pdskf               True                VISCACHES           00min et 12s        3                   
dksf                True                SAUVETTE            00min et 02s        2                   
lol                 True                GAUFRA              00min et 51s        1                   
nnn                 False               MONELS              00min et 24s        4                   
test                True                LOUVES              00min et 05s        1                   
aie                 True                VERTES              00min et 47s        1                   
